Date,Open,High,Low,Close,Volume,Adj Close,,
9/22/2008,124.449997,124.75,117.790001,120.849998,300685100,103.185684,,120.849998
9/29/2008,119.139999,119.339996,109.68,110.339996,389527100,94.211899,,110.339996
10/6/2008,107.150002,107.620003,83.580002,88.5,656315100,75.564194,,88.5
10/13/2008,93.870003,105.529999,86.540001,93.209999,534388000,79.585747,,93.209999
10/20/2008,95.349998,99.099998,84,87.040001,474888600,74.317604,,87.040001
10/27/2008,85.970001,98.57,83.699997,96.830002,478894800,82.67662,,96.830002
11/3/2008,96.779999,100.860001,90.059998,93.860001,359633900,80.140739,,93.860001
11/10/2008,95.209999,95.529999,82.089996,86.620003,493619200,73.958992,,86.620003
11/17/2008,86.379997,88.559998,74.339996,79.519997,606022200,67.896774,,79.519997
11/24/2008,81.919998,90.129997,80.360001,90.089996,366465000,76.921783,,90.089996
12/1/2008,87.510002,88.419998,81.860001,87.93,455075600,75.077515,,87.93
12/8/2008,90.339996,92.379997,85.199997,88.989998,391991600,75.982574,,88.989998
12/15/2008,89.019997,92.43,86.290001,88.190002,318467600,75.910774,,88.190002
12/22/2008,88.580002,88.669998,85.489998,87.160004,150553500,75.024185,,87.160004
12/29/2008,87.239998,93.440002,85.599998,92.959999,179401400,80.016609,,92.959999
1/5/2009,92.629997,94.449997,85.360001,89.089996,288859500,76.685455,,89.089996
1/12/2009,88.839996,88.910004,81.720001,85.059998,400333300,73.216576,,85.059998
1/20/2009,84.230003,85.059998,80.050003,83.110001,399739200,71.538086,,83.110001
1/26/2009,83.589996,87.949997,82.209999,82.830002,319910300,71.297073,,82.830002
2/2/2009,81.57,87.339996,77.730003,86.980003,334677900,74.869247,,86.980003
2/9/2009,86.959999,87.739998,81.050003,82.760002,372806200,71.236824,,82.760002
2/17/2009,80.160004,82.959999,75.769997,77.419998,408979700,66.640343,,77.419998
2/23/2009,78.269997,79.669998,73.809998,73.93,420350500,63.636276,,73.93
3/2/2009,72.519997,73.919998,67.099998,68.919998,461797200,59.323849,,68.919998
3/9/2009,67.949997,76.980003,67.730003,76.089996,377991700,65.495522,,76.089996
3/16/2009,76.959999,81,75.449997,76.709999,398066200,66.501808,,76.709999
3/23/2009,78.739998,83.300003,78.309998,81.610001,387267300,70.749741,,81.610001
3/30/2009,79.800003,84.610001,77.959999,84.260002,365248400,73.047089,,84.260002
4/6/2009,83.339996,85.82,81.510002,85.809998,255967600,74.390823,,85.809998
4/13/2009,84.919998,87.650002,83.610001,87.080002,270004800,75.491821,,87.080002
4/20/2009,85.540001,87.309998,82.75,86.660004,272156500,75.127716,,86.660004
4/27/2009,85.68,89.019997,84.760002,87.889999,277308700,76.194031,,87.889999
5/4/2009,88.550003,90.940002,88.379997,90.879997,287120000,78.786133,,90.879997
